"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"12/10/2023","1.715","1.715","1.720","1.710","406,40K","0,29%"
"11/10/2023","1.710","1.710","1.720","1.710","431,00K","-0,29%"
"10/10/2023","1.715","1.725","1.725","1.710","316,00K","0,00%"
"09/10/2023","1.715","1.720","1.725","1.715","427,10K","-0,29%"
"06/10/2023","1.720","1.715","1.725","1.715","187,80K","0,29%"
"05/10/2023","1.715","1.715","1.720","1.715","768,80K","0,00%"
"04/10/2023","1.715","1.715","1.720","1.710","351,70K","0,00%"
"03/10/2023","1.715","1.720","1.725","1.715","163,00K","0,00%"
"02/10/2023","1.715","1.715","1.725","1.715","251,20K","0,00%"
"29/09/2023","1.715","1.720","1.725","1.715","156,60K","0,00%"
"27/09/2023","1.715","1.715","1.725","1.715","65,90K","0,00%"
"26/09/2023","1.715","1.715","1.725","1.715","246,10K","-0,29%"
"25/09/2023","1.720","1.720","1.725","1.715","292,00K","0,29%"
"22/09/2023","1.715","1.705","1.725","1.705","154,80K","0,00%"
"21/09/2023","1.715","1.720","1.720","1.715","81,30K","0,00%"
"20/09/2023","1.715","1.715","1.720","1.710","329,90K","0,00%"
"19/09/2023","1.715","1.710","1.720","1.710","208,00K","0,00%"
"18/09/2023","1.715","1.715","1.720","1.710","193,30K","-0,29%"
"15/09/2023","1.720","1.725","1.725","1.715","185,40K","0,00%"
"14/09/2023","1.720","1.710","1.725","1.710","200,10K","0,29%"
"13/09/2023","1.715","1.725","1.730","1.715","145,70K","-0,29%"
"12/09/2023","1.720","1.710","1.730","1.710","161,40K","0,00%"
"11/09/2023","1.720","1.720","1.730","1.720","315,10K","0,00%"
"08/09/2023","1.720","1.715","1.725","1.715","194,80K","0,29%"
"07/09/2023","1.715","1.720","1.725","1.715","188,80K","-0,29%"
"06/09/2023","1.720","1.715","1.730","1.715","118,40K","-0,29%"
"05/09/2023","1.725","1.710","1.725","1.705","179,10K","0,58%"
"04/09/2023","1.715","1.715","1.725","1.715","177,00K","0,00%"
"01/09/2023","1.715","1.720","1.725","1.715","174,40K","0,00%"
"31/08/2023","1.715","1.725","1.725","1.715","152,50K","-0,29%"
"30/08/2023","1.720","1.720","1.725","1.720","189,30K","0,00%"
"29/08/2023","1.720","1.715","1.725","1.715","97,80K","0,00%"
"28/08/2023","1.720","1.720","1.735","1.715","79,90K","-0,29%"
"25/08/2023","1.725","1.725","1.725","1.715","97,40K","0,00%"
"24/08/2023","1.725","1.725","1.730","1.720","317,70K","0,00%"
"23/08/2023","1.725","1.725","1.740","1.720","339,40K","0,00%"
"22/08/2023","1.725","1.735","1.735","1.725","201,00K","-0,58%"
"21/08/2023","1.735","1.730","1.735","1.725","165,50K","0,29%"
"18/08/2023","1.730","1.735","1.735","1.720","138,90K","-0,29%"
"16/08/2023","1.735","1.740","1.745","1.730","92,30K","-0,29%"
"15/08/2023","1.740","1.725","1.740","1.720","248,70K","0,87%"
"14/08/2023","1.725","1.725","1.735","1.720","248,70K","-0,29%"
"11/08/2023","1.730","1.735","1.735","1.725","61,50K","0,00%"
"10/08/2023","1.730","1.730","1.735","1.720","295,50K","0,00%"
"09/08/2023","1.730","1.740","1.740","1.725","220,40K","-0,29%"
"08/08/2023","1.735","1.745","1.745","1.735","247,20K","-0,57%"
"07/08/2023","1.745","1.745","1.750","1.730","265,10K","0,00%"
"04/08/2023","1.745","1.745","1.750","1.735","46,30K","0,00%"
"03/08/2023","1.745","1.735","1.755","1.735","121,20K","0,58%"
"02/08/2023","1.735","1.745","1.745","1.725","235,10K","-0,57%"
"01/08/2023","1.745","1.755","1.755","1.720","579,20K","-0,57%"
"31/07/2023","1.755","1.785","1.785","1.750","410,90K","-1,68%"
"28/07/2023","1.785","1.750","1.800","1.725","2,47M","2,59%"
"27/07/2023","1.740","1.740","1.760","1.735","389,40K","0,29%"
"26/07/2023","1.735","1.745","1.745","1.730","263,00K","-0,29%"
"25/07/2023","1.740","1.740","1.750","1.735","251,60K","0,00%"
"24/07/2023","1.740","1.740","1.750","1.735","343,90K","0,29%"
"21/07/2023","1.735","1.740","1.760","1.730","379,70K","-0,29%"
"20/07/2023","1.740","1.750","1.765","1.735","388,00K","-0,29%"
"18/07/2023","1.745","1.745","1.775","1.740","413,30K","0,00%"
"17/07/2023","1.745","1.725","1.745","1.725","223,50K","0,58%"
"14/07/2023","1.735","1.725","1.735","1.710","193,80K","0,58%"
"13/07/2023","1.725","1.740","1.755","1.705","545,70K","-0,86%"
"12/07/2023","1.740","1.770","1.770","1.740","811,70K","-1,69%"
"11/07/2023","1.770","1.755","1.775","1.750","470,30K","0,00%"
"10/07/2023","1.770","1.780","1.810","1.760","1,18M","0,00%"
"07/07/2023","1.770","1.800","1.820","1.760","2,65M","-12,38%"
"06/07/2023","2.020","2.000","2.040","1.980","3,88M","1,00%"
"05/07/2023","2.000","1.960","2.020","1.960","4,03M","2,04%"
"04/07/2023","1.960","1.955","1.965","1.940","1,31M","1,03%"
"03/07/2023","1.940","1.950","1.955","1.925","1,30M","1,31%"
"27/06/2023","1.915","1.930","1.940","1.915","298,30K","-0,78%"
"26/06/2023","1.930","1.925","1.945","1.910","766,20K","0,26%"
"23/06/2023","1.925","1.900","2.010","1.900","2,47M","1,32%"
"22/06/2023","1.900","1.905","1.905","1.870","572,80K","-0,26%"
"21/06/2023","1.905","1.850","1.915","1.850","513,10K","2,97%"
"20/06/2023","1.850","1.860","1.875","1.840","363,00K","-0,54%"
"19/06/2023","1.860","1.820","1.885","1.820","616,20K","2,20%"
"16/06/2023","1.820","1.810","1.825","1.810","188,30K","0,28%"
"15/06/2023","1.815","1.835","1.835","1.810","132,70K","-0,55%"
"14/06/2023","1.825","1.820","1.830","1.815","78,40K","0,55%"
"13/06/2023","1.815","1.805","1.845","1.805","425,20K","0,55%"
"12/06/2023","1.805","1.780","1.810","1.780","599,90K","1,40%"
"09/06/2023","1.780","1.775","1.790","1.775","254,90K","0,28%"
"08/06/2023","1.775","1.790","1.790","1.775","173,30K","-0,84%"
"07/06/2023","1.790","1.775","1.795","1.775","87,80K","1,13%"
"06/06/2023","1.770","1.780","1.780","1.760","102,60K","-0,56%"
"05/06/2023","1.780","1.795","1.795","1.760","200,70K","-0,84%"
"31/05/2023","1.795","1.735","1.890","1.730","394,10K","3,46%"
"30/05/2023","1.735","1.725","1.740","1.725","29,50K","0,58%"
"29/05/2023","1.725","1.730","1.730","1.720","92,50K","0,00%"
"26/05/2023","1.725","1.735","1.740","1.720","122,80K","-0,58%"
"25/05/2023","1.735","1.735","1.740","1.725","69,90K","0,29%"
"24/05/2023","1.730","1.720","1.735","1.715","168,40K","0,29%"
"23/05/2023","1.725","1.715","1.725","1.715","35,70K","0,58%"
"22/05/2023","1.715","1.700","1.715","1.690","218,80K","0,29%"
"19/05/2023","1.710","1.720","1.720","1.700","185,90K","-0,58%"
"17/05/2023","1.720","1.730","1.730","1.715","131,90K","-0,58%"
"16/05/2023","1.730","1.730","1.730","1.720","126,70K","0,58%"
"15/05/2023","1.720","1.725","1.730","1.715","142,00K","0,00%"
"12/05/2023","1.720","1.720","1.720","1.710","92,70K","0,58%"
"11/05/2023","1.710","1.715","1.720","1.700","197,80K","0,00%"
"10/05/2023","1.710","1.720","1.725","1.705","386,20K","-0,58%"
"09/05/2023","1.720","1.705","1.730","1.705","163,20K","0,88%"
"08/05/2023","1.705","1.715","1.725","1.700","313,20K","-0,58%"
"05/05/2023","1.715","1.735","1.735","1.715","179,50K","-1,15%"
"04/05/2023","1.735","1.735","1.745","1.730","169,60K","0,00%"
"03/05/2023","1.735","1.730","1.740","1.715","136,90K","0,29%"
"02/05/2023","1.730","1.750","1.750","1.710","412,70K","-1,14%"
"28/04/2023","1.750","1.770","1.795","1.740","819,40K","-2,51%"
"27/04/2023","1.795","1.790","1.820","1.785","358,90K","0,28%"
"26/04/2023","1.790","1.750","1.795","1.750","317,50K","2,29%"
"18/04/2023","1.750","1.750","1.765","1.745","316,10K","0,00%"
"17/04/2023","1.750","1.765","1.770","1.750","152,00K","0,00%"
"14/04/2023","1.750","1.750","1.760","1.745","111,30K","0,00%"
"13/04/2023","1.750","1.755","1.755","1.740","544,40K","0,00%"
"12/04/2023","1.750","1.770","1.770","1.750","224,90K","-0,85%"
"11/04/2023","1.765","1.780","1.790","1.760","109,20K","0,28%"
"10/04/2023","1.760","1.790","1.790","1.755","375,50K","-1,68%"
"06/04/2023","1.790","1.795","1.795","1.770","253,00K","-0,28%"
"05/04/2023","1.795","1.800","1.810","1.795","125,20K","0,00%"
"04/04/2023","1.795","1.800","1.800","1.785","140,10K","-0,28%"
"03/04/2023","1.800","1.790","1.815","1.785","210,70K","0,56%"
"31/03/2023","1.790","1.805","1.810","1.780","816,60K","-0,83%"
"30/03/2023","1.805","1.825","1.830","1.800","334,40K","-1,10%"
"29/03/2023","1.825","1.830","1.830","1.800","246,50K","-0,27%"
"28/03/2023","1.830","1.835","1.835","1.800","294,50K","-0,27%"
"27/03/2023","1.835","1.845","1.845","1.830","167,10K","-0,54%"
"24/03/2023","1.845","1.825","1.850","1.815","217,30K","1,10%"
"21/03/2023","1.825","1.800","1.825","1.795","55,70K","1,39%"
"20/03/2023","1.800","1.805","1.815","1.780","77,50K","0,00%"
"17/03/2023","1.800","1.800","1.800","1.780","56,20K","1,69%"
"16/03/2023","1.770","1.790","1.790","1.755","122,40K","-1,12%"
"15/03/2023","1.790","1.810","1.810","1.720","283,80K","-1,10%"
"14/03/2023","1.810","1.880","1.880","1.790","488,30K","-3,98%"
"13/03/2023","1.885","1.895","1.895","1.875","72,00K","-0,26%"
"10/03/2023","1.890","1.890","1.895","1.885","67,10K","0,00%"
"09/03/2023","1.890","1.885","1.895","1.885","40,30K","0,27%"
"08/03/2023","1.885","1.885","1.890","1.880","49,70K","0,00%"
"07/03/2023","1.885","1.890","1.890","1.885","50,10K","-0,26%"
"06/03/2023","1.890","1.895","1.900","1.890","65,90K","-0,26%"
"03/03/2023","1.895","1.910","1.910","1.895","65,90K","0,00%"
"02/03/2023","1.895","1.890","1.900","1.890","98,30K","0,26%"
"01/03/2023","1.890","1.880","1.895","1.875","57,00K","0,53%"
"28/02/2023","1.880","1.870","1.890","1.865","104,50K","0,53%"
"27/02/2023","1.870","1.880","1.895","1.860","231,60K","-0,53%"
"24/02/2023","1.880","1.900","1.900","1.880","181,20K","-1,05%"
"23/02/2023","1.900","1.900","1.900","1.890","85,40K","0,26%"
"22/02/2023","1.895","1.910","1.915","1.895","44,90K","-0,79%"
"21/02/2023","1.910","1.900","1.910","1.895","160,40K","0,53%"
"20/02/2023","1.900","1.910","1.915","1.900","112,70K","-0,26%"
"17/02/2023","1.905","1.895","1.910","1.895","324,00K","0,79%"
"16/02/2023","1.890","1.900","1.900","1.880","224,90K","-0,26%"
"15/02/2023","1.895","1.900","1.905","1.895","308,40K","-0,26%"
"14/02/2023","1.900","1.890","1.900","1.885","50,30K","0,53%"
"13/02/2023","1.890","1.895","1.895","1.880","68,50K","-0,26%"
"10/02/2023","1.895","1.880","1.900","1.880","33,00K","0,00%"
"09/02/2023","1.895","1.890","1.900","1.880","23,90K","0,26%"
"08/02/2023","1.890","1.895","1.900","1.890","70,00K","-0,53%"
"07/02/2023","1.900","1.875","1.900","1.865","53,20K","1,33%"
"06/02/2023","1.875","1.895","1.895","1.870","102,20K","-1,06%"
"03/02/2023","1.895","1.900","1.900","1.890","86,80K","0,00%"
"02/02/2023","1.895","1.900","1.900","1.885","84,20K","-0,26%"
"01/02/2023","1.900","1.915","1.920","1.890","59,90K","-0,52%"
"31/01/2023","1.910","1.910","1.930","1.900","47,00K","0,00%"
"30/01/2023","1.910","1.900","1.920","1.885","130,60K","0,53%"
"27/01/2023","1.900","1.870","1.905","1.870","167,40K","1,33%"
"26/01/2023","1.875","1.845","1.880","1.840","98,10K","1,63%"
"25/01/2023","1.845","1.850","1.850","1.835","47,00K","0,82%"
"24/01/2023","1.830","1.820","1.850","1.815","129,30K","0,83%"
"20/01/2023","1.815","1.815","1.825","1.810","88,00K","0,28%"
"19/01/2023","1.810","1.820","1.825","1.810","99,80K","-0,55%"
"18/01/2023","1.820","1.835","1.840","1.800","158,00K","-0,55%"
"17/01/2023","1.830","1.825","1.835","1.815","89,80K","0,27%"
"16/01/2023","1.825","1.835","1.840","1.825","35,50K","-0,54%"
"13/01/2023","1.835","1.840","1.845","1.820","43,70K","0,00%"
"12/01/2023","1.835","1.820","1.850","1.820","242,10K","0,00%"
"11/01/2023","1.835","1.835","1.840","1.820","29,70K","0,00%"
"10/01/2023","1.835","1.840","1.850","1.830","88,70K","0,27%"
"09/01/2023","1.830","1.830","1.845","1.810","85,10K","0,27%"
"06/01/2023","1.825","1.800","1.835","1.780","104,80K","1,11%"
"05/01/2023","1.805","1.900","1.900","1.800","514,70K","-5,00%"
"04/01/2023","1.900","1.915","1.915","1.900","83,00K","-0,78%"
"03/01/2023","1.915","1.920","1.920","1.905","35,40K","-0,26%"
"02/01/2023","1.920","1.925","1.950","1.900","145,00K","0,00%"
"30/12/2022","1.920","1.910","1.940","1.895","144,60K","0,52%"
"29/12/2022","1.910","1.945","1.945","1.880","385,70K","-1,80%"
"28/12/2022","1.945","1.950","1.950","1.930","73,00K","-0,26%"
"27/12/2022","1.950","1.960","1.965","1.945","42,60K","-0,51%"
"26/12/2022","1.960","1.965","1.965","1.940","50,00K","0,00%"
"23/12/2022","1.960","1.965","1.965","1.945","81,90K","-0,25%"
"22/12/2022","1.965","1.965","1.975","1.965","16,60K","0,00%"
"21/12/2022","1.965","1.975","1.975","1.955","31,60K","-0,25%"
"20/12/2022","1.970","1.980","1.980","1.950","119,10K","-0,25%"
"19/12/2022","1.975","1.960","1.975","1.920","87,60K","0,77%"
"16/12/2022","1.960","1.970","1.975","1.950","51,70K","-0,25%"
"15/12/2022","1.965","1.960","1.970","1.945","78,30K","0,00%"
"14/12/2022","1.965","1.960","1.965","1.950","73,10K","0,51%"
"13/12/2022","1.955","1.955","1.980","1.950","99,70K","0,00%"
"12/12/2022","1.955","1.925","1.955","1.910","137,20K","0,26%"
"09/12/2022","1.950","1.940","1.955","1.925","396,20K","1,56%"
"08/12/2022","1.920","1.940","1.945","1.915","116,50K","-1,03%"
"07/12/2022","1.940","1.940","1.940","1.910","235,40K","0,00%"
"06/12/2022","1.940","1.955","1.955","1.920","359,70K","-0,77%"
"05/12/2022","1.955","1.965","1.980","1.955","153,20K","-0,26%"
"02/12/2022","1.960","1.970","1.970","1.955","88,30K","-0,25%"
"01/12/2022","1.965","1.975","1.985","1.960","111,50K","0,00%"
"30/11/2022","1.965","1.965","1.975","1.955","106,80K","0,26%"
"29/11/2022","1.960","1.970","1.970","1.960","166,40K","-0,51%"
"28/11/2022","1.970","1.980","1.985","1.960","150,90K","0,00%"
"25/11/2022","1.970","1.970","2.000","1.965","122,60K","-0,25%"
"24/11/2022","1.975","1.990","1.990","1.965","132,40K","-0,50%"
"23/11/2022","1.985","1.980","1.995","1.960","150,30K","0,76%"
"22/11/2022","1.970","1.960","1.975","1.950","116,20K","0,51%"
"21/11/2022","1.960","1.965","1.975","1.955","136,80K","-0,25%"
"18/11/2022","1.965","1.970","1.985","1.965","170,50K","0,00%"
"17/11/2022","1.965","1.970","1.990","1.965","163,00K","-0,25%"
"16/11/2022","1.970","1.975","1.980","1.965","110,30K","0,00%"
"15/11/2022","1.970","1.975","1.980","1.965","114,20K","0,00%"
"14/11/2022","1.970","1.970","2.000","1.955","235,90K","-0,25%"
"11/11/2022","1.975","1.960","1.995","1.955","87,90K","0,77%"
"10/11/2022","1.960","1.995","1.995","1.950","184,80K","-1,75%"
"09/11/2022","1.995","2.000","2.020","1.985","171,80K","-0,25%"
"08/11/2022","2.000","1.980","2.030","1.975","258,20K","0,00%"
"07/11/2022","2.000","2.020","2.040","1.920","457,30K","-0,99%"
"04/11/2022","2.020","2.060","2.060","2.000","146,20K","-1,94%"
"03/11/2022","2.060","2.020","2.070","2.000","181,40K","0,98%"
"02/11/2022","2.040","2.130","2.150","2.010","470,80K","-1,92%"
"01/11/2022","2.080","2.130","2.160","2.050","527,20K","-0,48%"
"31/10/2022","2.090","2.030","2.100","2.000","648,40K","2,96%"
"28/10/2022","2.030","2.000","2.190","1.960","1,34M","-0,98%"
"27/10/2022","2.050","2.000","2.050","1.990","411,20K","3,02%"
"26/10/2022","1.990","1.875","2.090","1.850","1,09M","3,92%"
"25/10/2022","1.915","1.870","1.940","1.850","405,90K","0,26%"
"24/10/2022","1.910","1.865","1.920","1.865","595,30K","2,41%"
"21/10/2022","1.865","1.850","1.910","1.850","481,30K","-0,53%"
"20/10/2022","1.875","1.820","1.920","1.820","941,60K","3,02%"
"19/10/2022","1.820","1.810","1.825","1.805","538,60K","0,83%"
"18/10/2022","1.805","1.800","1.835","1.800","183,50K","0,28%"
"17/10/2022","1.800","1.845","1.850","1.800","464,60K","-2,44%"
"14/10/2022","1.845","1.780","1.860","1.780","555,20K","2,22%"
"13/10/2022","1.805","1.800","1.820","1.795","302,70K","0,28%"
"12/10/2022","1.800","1.810","1.815","1.775","426,70K","-0,55%"
"11/10/2022","1.810","1.850","1.850","1.800","637,30K","-2,43%"
"10/10/2022","1.855","1.850","1.865","1.805","279,60K","-0,54%"
"07/10/2022","1.865","1.850","1.900","1.825","613,00K","1,36%"
"06/10/2022","1.840","1.825","1.845","1.790","473,10K","1,10%"
"05/10/2022","1.820","1.745","1.845","1.745","315,80K","1,68%"
"04/10/2022","1.790","1.755","1.815","1.730","470,70K","1,99%"
"03/10/2022","1.755","1.730","1.775","1.730","559,80K","3,54%"
"30/09/2022","1.695","1.680","1.710","1.565","821,00K","0,89%"
"29/09/2022","1.680","1.775","1.775","1.650","707,00K","-4,82%"
"28/09/2022","1.765","1.780","1.785","1.745","413,40K","-0,28%"
"27/09/2022","1.770","1.755","1.785","1.750","206,00K","0,85%"
"26/09/2022","1.755","1.860","1.860","1.740","710,50K","-5,65%"
"23/09/2022","1.860","1.795","1.880","1.770","346,40K","3,62%"
"22/09/2022","1.795","1.850","1.855","1.795","533,60K","-2,97%"
"21/09/2022","1.850","1.815","1.870","1.795","285,70K","2,49%"
"20/09/2022","1.805","1.935","1.950","1.795","1,08M","-5,99%"
"19/09/2022","1.920","1.740","1.950","1.740","1,84M","10,34%"
"16/09/2022","1.740","1.780","1.795","1.740","543,90K","-2,25%"
"15/09/2022","1.780","1.720","1.790","1.715","976,70K","4,09%"
"14/09/2022","1.710","1.685","1.710","1.670","387,10K","1,48%"
"13/09/2022","1.685","1.675","1.710","1.655","278,70K","0,90%"
"12/09/2022","1.670","1.645","1.690","1.640","494,60K","1,21%"
"09/09/2022","1.650","1.695","1.710","1.650","513,50K","-2,65%"
"08/09/2022","1.695","1.700","1.715","1.665","152,10K","-1,17%"
"07/09/2022","1.715","1.675","1.720","1.675","364,10K","2,39%"
"06/09/2022","1.675","1.675","1.705","1.665","449,60K","0,00%"
"05/09/2022","1.675","1.705","1.705","1.650","382,70K","-2,33%"
"02/09/2022","1.715","1.730","1.750","1.710","825,30K","-0,87%"
"01/09/2022","1.730","1.705","1.755","1.705","918,40K","1,47%"
"31/08/2022","1.705","1.650","1.755","1.650","2,39M","3,33%"
"30/08/2022","1.650","1.630","1.650","1.625","682,00K","1,23%"
"29/08/2022","1.630","1.615","1.630","1.605","367,40K","0,93%"
"26/08/2022","1.615","1.610","1.620","1.580","725,20K","0,31%"
"25/08/2022","1.610","1.580","1.630","1.575","956,30K","2,22%"
"24/08/2022","1.575","1.585","1.590","1.555","92,70K","-0,32%"
"23/08/2022","1.580","1.585","1.590","1.560","721,30K","0,32%"
"22/08/2022","1.575","1.570","1.580","1.550","234,00K","0,32%"
"19/08/2022","1.570","1.550","1.570","1.540","518,70K","0,64%"
"18/08/2022","1.560","1.550","1.570","1.550","222,00K","0,65%"
"16/08/2022","1.550","1.565","1.575","1.550","194,20K","-0,96%"
"15/08/2022","1.565","1.550","1.580","1.550","487,40K","0,97%"
"12/08/2022","1.550","1.550","1.555","1.540","321,50K","0,00%"
"11/08/2022","1.550","1.560","1.565","1.545","209,60K","-0,64%"
"10/08/2022","1.560","1.545","1.565","1.535","357,50K","0,97%"
"09/08/2022","1.545","1.570","1.570","1.540","668,80K","-1,59%"
"08/08/2022","1.570","1.570","1.575","1.545","290,80K","0,00%"
"05/08/2022","1.570","1.570","1.590","1.570","361,70K","0,00%"
"04/08/2022","1.570","1.565","1.580","1.565","573,00K","0,64%"
"03/08/2022","1.560","1.545","1.560","1.540","672,30K","0,97%"
"02/08/2022","1.545","1.555","1.560","1.535","479,50K","-0,64%"
"01/08/2022","1.555","1.530","1.560","1.525","1,30M","1,97%"
"29/07/2022","1.525","1.500","1.540","1.500","1,62M","3,04%"
"28/07/2022","1.480","1.480","1.510","1.475","1,08M","0,00%"
"27/07/2022","1.480","1.450","1.500","1.445","1,43M","2,07%"
"26/07/2022","1.450","1.465","1.480","1.440","1,13M","-1,36%"
"25/07/2022","1.470","1.490","1.490","1.420","1,78M","-3,29%"
"22/07/2022","1.520","1.600","1.600","1.520","447,70K","-6,75%"
"21/07/2022","1.630","1.630","1.630","1.620","2,94M","0,62%"
"20/07/2022","1.620","1.610","1.630","1.605","2,09M","0,93%"
"19/07/2022","1.605","1.600","1.620","1.590","2,13M","0,31%"
"18/07/2022","1.600","1.650","1.650","1.600","2,04M","0,00%"
"15/07/2022","1.600","1.570","1.650","1.570","2,86M","2,56%"
"14/07/2022","1.560","1.580","1.600","1.545","1,02M","-0,64%"
"13/07/2022","1.570","1.540","1.650","1.510","3,14M","4,67%"
"12/07/2022","1.500","1.540","1.550","1.495","690,50K","-2,28%"
"11/07/2022","1.535","1.515","1.575","1.505","349,50K","1,32%"
"08/07/2022","1.515","1.500","1.520","1.480","488,50K","1,34%"
"07/07/2022","1.495","1.480","1.495","1.460","106,30K","1,01%"
"06/07/2022","1.480","1.450","1.495","1.450","113,70K","0,00%"
"05/07/2022","1.480","1.450","1.485","1.445","305,70K","1,72%"
"04/07/2022","1.455","1.470","1.490","1.435","231,70K","-0,68%"
"01/07/2022","1.465","1.500","1.500","1.455","263,40K","-2,33%"
"30/06/2022","1.500","1.500","1.500","1.495","71,20K","0,00%"
"29/06/2022","1.500","1.515","1.515","1.495","156,60K","-0,99%"
"28/06/2022","1.515","1.555","1.555","1.510","125,30K","0,33%"
"27/06/2022","1.510","1.500","1.515","1.490","169,40K","0,67%"
"24/06/2022","1.500","1.490","1.520","1.475","230,00K","0,67%"
"23/06/2022","1.490","1.505","1.505","1.480","101,10K","-0,67%"
"22/06/2022","1.500","1.525","1.525","1.485","189,00K","0,00%"
"21/06/2022","1.500","1.515","1.515","1.475","104,40K","0,67%"
"20/06/2022","1.490","1.520","1.520","1.470","161,70K","0,34%"
"17/06/2022","1.485","1.495","1.525","1.465","358,80K","-2,30%"
"16/06/2022","1.520","1.520","1.520","1.495","273,80K","1,67%"
"15/06/2022","1.495","1.545","1.545","1.465","389,80K","-0,33%"
"14/06/2022","1.500","1.525","1.525","1.475","377,20K","-1,64%"
"13/06/2022","1.525","1.600","1.610","1.490","1,57M","-4,69%"
"10/06/2022","1.600","1.550","1.635","1.550","1,86M","2,56%"
"09/06/2022","1.560","1.550","1.595","1.525","1,13M","2,63%"
"08/06/2022","1.520","1.520","1.530","1.480","661,90K","0,66%"
"07/06/2022","1.510","1.500","1.510","1.480","465,70K","2,72%"
"06/06/2022","1.470","1.440","1.490","1.435","356,10K","2,44%"
"03/06/2022","1.435","1.475","1.490","1.435","696,30K","-0,69%"
"02/06/2022","1.445","1.475","1.475","1.425","526,20K","0,70%"
"31/05/2022","1.435","1.475","1.475","1.405","295,60K","0,00%"
"30/05/2022","1.435","1.400","1.475","1.400","218,80K","2,14%"
"27/05/2022","1.405","1.400","1.420","1.385","193,20K","1,08%"
"25/05/2022","1.390","1.400","1.400","1.385","97,50K","0,36%"
"24/05/2022","1.385","1.395","1.395","1.380","109,00K","-0,72%"
"23/05/2022","1.395","1.400","1.400","1.380","126,70K","0,72%"
"20/05/2022","1.385","1.380","1.400","1.380","318,00K","0,36%"
"19/05/2022","1.380","1.400","1.405","1.375","445,90K","-1,43%"
"18/05/2022","1.400","1.395","1.410","1.390","207,90K","0,36%"
"17/05/2022","1.395","1.395","1.430","1.395","311,70K","0,00%"
"13/05/2022","1.395","1.390","1.400","1.385","75,70K","0,36%"
"12/05/2022","1.390","1.415","1.425","1.390","145,90K","-1,77%"
"11/05/2022","1.415","1.400","1.440","1.380","115,20K","0,35%"
"10/05/2022","1.410","1.430","1.430","1.355","286,10K","-1,74%"
"09/05/2022","1.435","1.490","1.500","1.430","505,70K","-2,71%"
"28/04/2022","1.475","1.440","1.510","1.435","669,20K","2,79%"
"27/04/2022","1.435","1.400","1.440","1.385","722,60K","2,50%"
"26/04/2022","1.400","1.395","1.400","1.385","201,20K","0,36%"
"25/04/2022","1.395","1.390","1.400","1.365","282,20K","0,36%"
"22/04/2022","1.390","1.385","1.400","1.385","104,30K","0,00%"
"21/04/2022","1.390","1.400","1.400","1.385","168,30K","0,00%"
"20/04/2022","1.390","1.390","1.410","1.375","334,70K","1,09%"
"19/04/2022","1.375","1.370","1.380","1.365","207,90K","0,73%"
"18/04/2022","1.365","1.360","1.375","1.355","77,80K","0,37%"
"14/04/2022","1.360","1.355","1.360","1.345","106,70K","0,00%"
"13/04/2022","1.360","1.340","1.390","1.330","143,50K","1,49%"
"12/04/2022","1.340","1.355","1.355","1.335","155,40K","-1,11%"
"11/04/2022","1.355","1.355","1.370","1.340","132,30K","-0,37%"
"08/04/2022","1.360","1.375","1.375","1.350","92,00K","-0,37%"
"07/04/2022","1.365","1.375","1.375","1.360","86,60K","0,00%"
"06/04/2022","1.365","1.375","1.380","1.355","88,40K","-0,73%"
"05/04/2022","1.375","1.360","1.375","1.360","38,40K","1,10%"
"04/04/2022","1.360","1.360","1.385","1.350","274,70K","0,00%"
"01/04/2022","1.360","1.365","1.370","1.350","207,10K","-0,37%"
"31/03/2022","1.365","1.355","1.365","1.350","224,00K","0,74%"
"30/03/2022","1.355","1.335","1.360","1.335","179,60K","1,50%"
"29/03/2022","1.335","1.330","1.340","1.330","152,30K","0,38%"
"28/03/2022","1.330","1.330","1.340","1.320","198,80K","0,00%"
"25/03/2022","1.330","1.310","1.335","1.310","74,80K","0,00%"
"24/03/2022","1.330","1.330","1.340","1.315","153,10K","0,00%"
"23/03/2022","1.330","1.330","1.335","1.315","130,30K","0,00%"
"22/03/2022","1.330","1.315","1.340","1.305","103,10K","1,53%"
"21/03/2022","1.310","1.305","1.345","1.305","366,10K","0,38%"
"18/03/2022","1.305","1.325","1.330","1.295","215,90K","-1,51%"
"17/03/2022","1.325","1.260","1.325","1.260","725,90K","5,16%"
"16/03/2022","1.260","1.260","1.260","1.245","95,40K","0,00%"
"15/03/2022","1.260","1.250","1.265","1.250","128,70K","0,00%"
"14/03/2022","1.260","1.250","1.260","1.245","145,30K","0,80%"
"11/03/2022","1.250","1.250","1.250","1.250","67,80K","-0,40%"
"10/03/2022","1.255","1.245","1.260","1.240","124,50K","0,00%"
"09/03/2022","1.255","1.245","1.255","1.245","59,30K","0,80%"
"08/03/2022","1.245","1.250","1.265","1.240","167,20K","0,00%"
"07/03/2022","1.245","1.250","1.265","1.240","427,20K","-0,40%"
"04/03/2022","1.250","1.255","1.260","1.235","272,90K","-0,40%"
"02/03/2022","1.255","1.280","1.280","1.245","175,00K","0,40%"
"01/03/2022","1.250","1.255","1.270","1.240","1,18M","-0,40%"
"25/02/2022","1.255","1.250","1.265","1.250","249,10K","0,40%"
"24/02/2022","1.250","1.275","1.280","1.245","297,90K","-1,57%"
